,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT1G26840,22,19,25,63,57,64,37,4,19,21,29,18
AT1G26850,882,2338,1789,5731,5088,4215,2585,1966,2014,2317,2520,2672
AT1G26870,0,0,0,1,0,0,0,1,0,1,0,0
AT1G26880,290,1020,1107,2479,1974,1411,958,369,780,791,697,1299
AT1G26890,7,4,1,8,9,7,1,0,5,2,5,4
AT1G26900,38,40,43,138,101,85,42,33,35,40,50,55
AT1G26910,57,169,132,369,267,193,126,132,123,128,133,182
AT1G26920,260,460,448,1046,1278,980,633,754,695,841,1199,517
AT1G26921,0,0,0,0,0,0,0,0,0,0,0,0
AT1G26930,104,179,165,420,159,166,81,280,137,145,177,146
AT1G26940,57,114,135,349,175,140,104,109,94,124,143,124
AT1G26945,727,1756,1356,2935,415,334,169,1826,2203,2458,1794,1596
AT1G26960,37,69,68,203,73,58,30,41,30,32,71,106
AT1G26970,0,0,1,0,2,1,0,0,5,0,0,1
AT1G26973,0,0,0,0,0,0,0,0,0,0,0,0
AT1G26975,0,0,0,0,0,0,0,0,0,0,0,0
AT1G26976,0,0,0,0,0,0,0,0,0,0,0,0
AT1G26985,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27000,434,907,918,2629,1360,1230,748,762,537,623,1030,1065
AT1G27008,0,0,1,3,2,3,0,0,1,0,0,3
AT1G27020,431,963,1094,2197,1564,1442,742,472,372,507,393,1836
AT1G27030,40,138,98,415,465,345,248,56,209,235,170,500
AT1G27040,0,1,1,6,2,1,0,0,1,1,0,2
AT1G27045,2,24,25,53,27,20,29,4,2,2,6,28
AT1G27050,47,109,88,274,230,197,99,52,78,53,74,190
AT1G27060,48,69,101,207,87,82,42,51,41,40,65,83
AT1G27070,179,186,197,513,314,238,176,148,153,152,269,235
AT1G27080,1,0,2,3,3,0,2,2,1,0,4,0
AT1G27090,825,2054,1889,5518,2930,2552,1526,3160,1485,1884,1988,1482
AT1G27100,613,1513,1445,3071,1850,1546,858,1788,960,1150,1729,1115
AT1G27110,11,11,15,29,24,23,6,1,7,15,7,9
AT1G27120,122,167,150,551,329,249,167,76,143,149,199,191
AT1G27130,345,982,984,2528,1060,839,583,434,399,520,647,859
AT1G27135,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27140,0,1,0,3,0,1,0,0,1,0,0,0
AT1G27150,158,422,454,1124,475,392,207,877,404,459,507,382
AT1G27160,0,0,1,1,0,2,0,0,1,2,1,0
AT1G27170,35,68,88,250,158,127,89,120,105,96,79,102
AT1G27180,113,227,173,602,325,278,166,174,147,160,146,189
AT1G27190,309,574,411,1790,928,812,429,393,416,497,765,487
AT1G27200,120,242,156,614,402,335,207,233,310,318,518,275
AT1G27210,470,800,648,2257,1001,930,525,405,974,1133,1154,653
AT1G27220,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27240,4,0,2,1,20,5,3,0,2,1,1,0
AT1G27250,0,0,0,0,0,0,0,0,0,1,0,0
AT1G27260,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27280,0,0,0,0,0,0,0,0,0,0,0,0
AT1G27290,739,1690,1539,3441,3068,2620,1585,1838,1120,1425,1498,486
AT1G27300,283,205,265,686,367,278,183,396,164,177,362,132
AT1G27310,204,900,847,2208,1703,1303,864,996,620,806,646,1355
AT1G27320,1162,2355,2071,6196,1936,1821,947,2242,1311,1488,1875,1430
AT1G27330,176,341,411,649,676,382,334,76,129,170,175,405
AT1G27340,192,370,357,993,501,420,237,330,243,307,229,486
AT1G27350,100,235,314,638,401,251,229,117,139,212,219,284
AT1G27360,58,126,137,316,84,64,40,35,52,48,56,153
AT1G27370,57,175,236,493,228,124,78,87,110,117,70,234
AT1G27380,0,5,8,22,6,8,6,2,3,4,7,13
AT1G27385,202,400,449,969,791,631,429,192,226,238,301,368
AT1G27390,112,400,356,943,535,406,275,184,280,268,184,490
AT1G27400,754,1960,2015,4243,3355,2474,1716,1228,1874,1767,1264,2563
AT1G27410,36,77,66,223,121,105,62,48,57,75,47,84
AT1G27420,8,24,26,105,47,31,23,10,22,23,21,34
AT1G27430,650,984,886,2485,1202,1034,564,1080,791,811,877,518
AT1G27435,124,256,275,547,509,407,238,119,158,179,214,370
AT1G27440,75,142,151,421,171,149,65,78,113,127,85,167
AT1G27450,476,1137,1088,3020,2848,2305,1439,645,910,1024,1218,1529
AT1G27460,146,367,344,1207,1635,1367,823,441,407,435,335,519
AT1G27461,0,0,0,0,0,0,0,0,0,0,0,0
