,Control_1,Control_2,Control_3,Control_4,Mlp37347_1,Mlp37347_2,Mlp37347_3,Mlp37347_4,Mlp124499_1,Mlp124499_2,Mlp124499_3,Mlp124499_4
AT3G51630,425,800,824,1638,823,748,460,562,474,595,494,720
AT3G51640,461,471,461,1214,642,578,360,415,369,376,444,344
AT3G51642,0,2,1,2,2,2,2,0,2,1,1,2
AT3G51644,1,0,0,0,0,0,0,0,0,0,0,0
AT3G51650,361,355,347,935,490,492,263,358,278,323,398,341
AT3G51660,544,765,1097,986,445,352,226,293,344,356,539,542
AT3G51670,432,1049,959,2356,1355,1200,700,800,698,787,1031,1134
AT3G51680,0,0,0,1,0,0,0,0,0,0,0,0
AT3G51690,0,0,0,0,1,0,0,1,0,0,0,0
AT3G51700,0,0,0,0,0,0,0,0,0,0,0,0
AT3G51710,24,56,41,85,52,50,27,21,20,35,17,26
AT3G51720,273,238,228,507,511,429,301,133,204,218,234,231
AT3G51730,560,3141,3142,7378,2136,1600,1072,7224,1798,2476,2217,2296
AT3G51740,285,308,357,952,977,802,505,428,443,410,177,248
AT3G51750,48,46,59,89,81,46,24,7,14,12,52,68
AT3G51760,39,48,69,171,76,87,48,55,64,76,87,47
AT3G51770,323,656,556,1669,1048,916,493,614,463,567,491,487
AT3G51780,138,291,306,803,524,353,249,311,214,228,218,392
AT3G51790,67,144,133,325,255,223,127,120,86,93,85,189
AT3G51800,802,1751,1547,3777,2763,2176,1425,828,1335,1307,1235,2018
AT3G51810,0,0,0,1,1,0,0,0,0,0,0,12
AT3G51820,608,2258,2081,6132,4483,3936,2416,950,1322,1248,647,2056
AT3G51830,258,543,528,1090,649,500,304,582,508,569,824,274
AT3G51840,2175,3793,3902,9826,4509,4035,2370,10434,3274,3782,4845,2811
AT3G51850,875,972,944,2369,1482,1247,748,1333,750,863,1178,885
AT3G51860,98,159,149,142,128,105,60,94,26,43,47,56
AT3G51870,89,172,193,469,621,485,321,76,131,103,77,323
AT3G51880,1966,1179,1306,2923,1380,1079,759,1571,950,1339,3393,1247
AT3G51890,353,487,541,806,315,231,199,307,166,218,378,297
AT3G51895,241,711,535,1689,404,367,204,58,235,238,192,333
AT3G51910,140,183,175,351,187,143,68,57,50,107,87,191
AT3G51920,1328,1505,1572,2631,2194,1299,1175,681,465,568,1465,1619
AT3G51930,24,40,37,107,80,84,39,12,25,29,15,46
AT3G51940,129,68,65,221,106,75,46,41,41,60,91,50
AT3G51950,1033,1958,1828,5584,2237,1839,1137,1013,1443,1708,1573,2709
AT3G51960,28,27,33,42,76,59,38,14,19,26,37,85
AT3G51970,8,30,20,49,36,35,23,16,11,13,19,52
AT3G51980,103,223,238,684,413,343,184,150,159,200,298,185
AT3G51990,84,137,146,300,197,167,109,88,95,118,161,157
AT3G52000,0,0,0,1,0,0,0,0,0,0,0,0
AT3G52010,0,0,1,1,0,0,0,0,0,0,1,0
AT3G52020,1,0,0,0,0,0,0,0,0,0,0,0
AT3G52030,129,184,187,408,290,255,131,148,145,152,181,137
AT3G52040,24,35,49,62,40,23,16,9,32,22,54,56
AT3G52050,146,269,250,709,469,399,259,184,204,220,304,248
AT3G52060,1409,2121,1938,5360,2287,1853,1262,3358,1599,1884,2012,874
AT3G52070,15,24,21,9,16,8,5,42,40,47,14,17
AT3G52072,84,26,28,45,35,20,14,22,22,31,56,22
AT3G52075,0,0,0,0,0,0,0,0,0,0,0,0
AT3G52080,39,3,4,8,8,6,2,1,2,7,8,1
AT3G52090,141,484,474,1061,919,657,477,317,295,350,212,431
AT3G52100,322,380,348,847,427,310,221,439,299,370,476,205
AT3G52105,15,37,44,170,35,14,20,49,38,45,53,18
AT3G52110,106,106,123,281,290,213,147,84,122,100,134,114
AT3G52115,25,25,23,56,70,53,38,16,29,26,33,18
AT3G52120,503,926,978,1907,1212,1013,625,801,655,785,797,696
AT3G52130,0,0,1,2,0,0,0,0,0,0,0,2
AT3G52140,1049,2659,2100,6471,2681,2269,1234,2552,1953,2048,1257,1670
AT3G52150,1222,2753,2425,7644,7463,6324,4035,1501,1854,1891,1801,2868
AT3G52155,51,359,344,998,696,588,389,390,288,279,168,330
AT3G52160,1,3,2,3,0,2,0,0,1,0,0,1
AT3G52170,117,202,176,416,465,398,256,55,193,175,183,215
AT3G52180,92,227,219,539,1361,1162,715,241,816,639,871,288
AT3G52190,77,145,121,483,269,262,148,83,107,114,172,151
AT3G52200,546,918,868,2210,1330,1141,650,975,666,722,737,713
AT3G52210,65,123,112,331,180,155,108,77,53,66,73,104
AT3G52220,941,561,647,1320,566,483,338,392,376,391,1312,541
AT3G52230,1134,1885,1843,4056,2130,1702,1116,1425,1011,1172,1202,1900
AT3G52240,480,776,735,1816,1183,1004,601,1466,668,782,726,493
AT3G52250,671,1348,1191,3426,1272,1163,617,1356,978,1096,909,924
AT3G52260,63,135,157,391,176,184,123,122,92,88,119,108
AT3G52270,11,2,2,5,10,3,3,0,1,6,3,2
AT3G52280,351,367,422,676,466,313,256,216,223,231,486,309
AT3G52285,0,0,0,0,0,0,0,0,0,0,0,0
AT3G52290,173,372,377,883,422,377,183,172,294,317,429,307
AT3G52300,847,1905,1964,5382,4124,3032,2091,1180,1361,1449,1931,2483
AT3G52310,11,33,36,84,86,63,44,262,131,141,201,82
AT3G52320,0,0,0,0,0,0,0,0,0,0,0,0
AT3G52330,0,0,0,3,0,0,0,0,0,0,0,0
AT3G52340,453,859,699,2068,893,767,513,248,482,455,897,579
AT3G52345,1,0,0,0,0,1,0,0,0,0,0,0
AT3G52350,2,2,0,4,0,0,0,0,0,1,1,2
AT3G52360,213,374,324,475,179,101,67,42,80,72,114,436
AT3G52370,27,102,66,288,332,185,167,6,52,64,50,188
AT3G52380,1186,1716,1689,4617,6322,5682,3642,578,972,889,1105,2036
AT3G52390,40,32,46,115,119,91,64,24,24,38,55,46
AT3G52400,700,1296,1257,2042,1343,1116,713,471,302,303,514,629
AT3G52420,29,83,155,141,203,135,89,60,76,93,89,120
AT3G52430,841,1039,1589,1444,453,389,260,111,162,176,379,451
AT3G52440,0,0,0,1,3,1,0,0,0,0,0,4
AT3G52450,68,188,155,531,181,236,100,16,23,24,22,147
AT3G52460,17,21,29,56,27,24,10,9,12,15,8,31
AT3G52470,178,420,504,953,747,579,345,108,148,166,213,478
AT3G52480,13,57,56,173,155,125,82,80,53,43,46,68
AT3G52490,44,74,58,247,219,175,89,77,56,77,37,89
AT3G52500,630,1663,1344,4364,4557,3932,2328,1530,1286,1466,1193,1832
AT3G52510,2,2,3,11,3,2,5,5,4,6,2,6
AT3G52520,18,72,51,155,86,80,39,56,26,25,18,76
AT3G52525,5,16,27,65,61,47,28,25,33,27,12,36
AT3G52526,5,28,21,61,26,17,11,27,27,13,24,17
AT3G52530,4,0,0,0,2,0,2,0,0,0,2,0
AT3G52535,10,26,42,42,26,18,16,26,14,16,14,22
AT3G52540,39,48,55,105,45,52,34,21,29,28,23,40
AT3G52550,21,36,38,79,41,30,29,15,11,24,52,37
AT3G52560,829,1279,1228,3183,1780,1518,866,1036,816,1015,1579,1318
AT3G52561,0,0,0,5,1,2,1,0,0,0,0,1
AT3G52565,0,0,1,2,0,1,0,1,1,0,0,1
AT3G52570,45,145,171,370,214,180,120,153,118,129,105,140
AT3G52580,124,734,682,1747,1476,1066,732,430,670,700,349,1005
AT3G52590,696,2615,3029,7878,7082,4713,3191,2141,2541,2522,1884,3885
AT3G52600,1,0,1,0,0,0,2,0,0,0,0,0
AT3G52605,36,6,5,3,3,4,1,4,0,1,11,2
AT3G52610,72,153,163,360,248,233,134,134,98,109,121,205
AT3G52620,0,0,1,1,0,0,0,0,1,0,0,0
AT3G52630,6,32,32,67,112,77,55,5,36,31,22,24
AT3G52640,167,440,391,1296,872,713,438,312,372,355,311,412
AT3G52660,395,532,520,1293,790,643,385,526,515,590,709,456
AT3G52680,9,43,27,147,78,52,40,21,24,29,41,66
AT3G52690,0,0,0,0,0,0,0,0,0,0,0,0
AT3G52700,44,4,10,11,7,6,1,2,3,4,8,15
AT3G52710,3,0,6,3,7,0,2,3,3,1,6,13
AT3G52720,260,788,604,1351,748,504,421,45,137,147,134,650
AT3G52730,339,1175,1362,1716,1646,1179,843,572,678,815,724,1097
AT3G52740,37,117,137,176,41,34,28,20,33,27,43,224
AT3G52742,1,5,1,12,11,7,2,1,1,5,2,1
AT3G52748,15,18,41,22,8,7,6,2,1,4,5,11
AT3G52750,240,593,531,1499,1718,1404,934,164,369,352,389,637
AT3G52760,58,186,171,448,395,297,197,197,176,192,120,239
AT3G52765,0,0,0,0,0,1,0,0,0,0,0,0
AT3G52770,10,31,34,66,22,24,11,26,17,18,17,28
AT3G52780,1,0,0,5,1,1,1,0,0,0,0,1
AT3G52790,1,2,2,8,4,3,5,2,3,2,2,7
AT3G52800,418,1276,1174,3346,1763,1477,899,778,447,497,542,1463
AT3G52810,12,1,2,2,27,5,2,1,0,4,2,0
AT3G52820,11,18,5,24,16,15,11,4,6,4,7,6
AT3G52830,0,0,0,0,0,0,0,1,0,0,0,0
AT3G52840,570,1800,1379,5263,2847,2165,1272,2586,1675,1730,1685,1008
AT3G52850,1278,2015,1783,5099,2573,2409,1404,2405,1277,1454,2422,1242
AT3G52860,13,77,65,150,95,85,43,61,63,54,44,78
AT3G52870,397,561,772,1186,651,650,359,486,279,292,380,580
AT3G52880,1863,3814,3698,9747,6056,5166,3389,2542,1945,2030,3564,3484
AT3G52890,287,552,509,1681,841,778,397,560,524,655,364,585
AT3G52900,67,65,66,139,134,73,67,22,43,39,74,68
AT3G52905,32,47,57,166,111,75,46,42,53,50,52,62
AT3G52910,42,77,78,202,255,201,113,90,145,115,69,117
AT3G52920,332,455,406,980,865,657,447,155,357,339,684,797
AT3G52930,632,2895,2383,9135,7208,6338,3785,2893,2491,2556,2116,3868
AT3G52940,80,240,157,634,824,592,363,86,131,125,150,370
AT3G52941,0,0,0,0,0,0,0,0,0,0,0,0
AT3G52950,139,313,260,755,502,428,256,134,120,136,156,554
AT3G52955,0,0,0,0,0,0,0,0,0,0,0,0
AT3G52960,728,1957,1844,6842,9013,8049,4704,1169,1532,1893,1631,2619
AT3G52970,0,0,0,1,0,0,0,0,0,0,0,0
AT3G52980,0,0,0,0,0,0,0,0,0,0,0,0
AT3G52990,279,1065,935,2904,2901,2435,1407,1070,1309,1232,1197,1146
AT3G53000,61,106,91,350,222,143,93,82,88,115,116,152
AT3G53010,2,14,17,25,35,24,12,7,15,17,12,11
AT3G53015,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53016,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53020,743,1857,2113,5975,4442,3299,2078,1099,1659,1625,1652,2235
AT3G53030,277,380,382,987,555,518,304,485,306,410,565,275
AT3G53040,2,0,1,5,1,1,0,7,0,2,1,16
AT3G53050,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53060,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53065,0,0,0,0,0,0,0,0,0,0,0,1
AT3G53070,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53075,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53080,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53090,190,316,322,954,396,290,194,216,235,212,244,173
AT3G53100,64,235,226,476,233,195,127,79,174,166,88,141
AT3G53110,653,1040,1125,2514,1549,1356,812,1052,713,800,888,1066
AT3G53120,135,335,367,564,352,296,185,214,163,189,279,201
AT3G53130,212,507,473,1396,939,819,501,232,288,328,311,451
AT3G53140,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53150,29,29,30,27,3,2,3,3,2,2,5,8
AT3G53160,42,21,47,83,12,17,10,46,19,23,19,28
AT3G53170,48,91,104,294,144,99,65,132,58,62,68,62
AT3G53180,901,2184,2438,5553,1484,1365,777,3489,983,1136,1207,1217
AT3G53190,190,398,385,1178,1251,1081,631,174,366,433,253,675
AT3G53200,0,2,2,1,0,2,0,0,0,0,0,0
AT3G53210,9,20,31,83,97,68,47,48,28,24,18,29
AT3G53220,6,4,10,18,26,25,5,0,6,5,8,11
AT3G53230,84,152,235,403,186,187,103,91,73,81,107,113
AT3G53232,11,32,34,46,22,10,12,21,7,12,23,22
AT3G53235,6,7,10,3,2,1,1,2,8,4,0,3
AT3G53240,94,261,249,700,281,281,135,232,223,242,170,358
AT3G53250,0,6,0,5,7,4,5,1,2,5,7,2
AT3G53260,1223,2535,2036,8550,2184,2053,1152,1363,768,796,769,1807
AT3G53270,169,234,209,645,270,231,156,70,128,113,167,201
AT3G53280,158,457,418,922,485,433,289,297,168,197,339,418
AT3G53290,0,0,0,0,1,0,0,0,0,0,0,0
AT3G53294,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53300,0,1,2,2,4,1,2,2,0,0,0,1
AT3G53305,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53310,23,70,37,143,82,45,42,29,37,31,58,46
AT3G53320,35,113,100,290,175,151,115,98,96,114,56,81
AT3G53330,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53340,96,164,204,512,240,244,132,217,113,119,184,159
AT3G53342,1,0,0,0,1,0,0,0,0,0,0,0
AT3G53350,89,71,84,193,99,67,56,34,38,54,121,75
AT3G53360,10,21,13,70,45,44,20,10,19,14,18,11
AT3G53365,0,7,3,10,7,6,3,2,1,3,2,7
AT3G53370,11,43,63,155,162,99,82,54,28,29,22,73
AT3G53380,132,302,261,824,470,443,271,228,254,271,241,345
AT3G53390,142,363,330,892,487,479,238,347,256,286,315,363
AT3G53400,112,474,329,962,720,484,305,231,290,312,311,535
AT3G53410,193,187,173,436,277,249,151,226,137,172,282,218
AT3G53420,2324,15958,13721,39128,18692,14891,10061,27511,8433,10283,5749,16362
AT3G53430,590,1581,1587,6013,4611,3493,2262,1016,1233,1376,1870,3241
AT3G53440,39,77,75,190,118,97,64,62,68,69,102,106
AT3G53450,6,1,4,23,6,18,3,2,11,10,4,5
AT3G53460,1513,3080,2606,11177,28334,25756,13361,5150,4776,4769,3699,4581
AT3G53470,188,462,560,1286,839,504,422,358,425,388,385,457
AT3G53480,22,27,25,230,72,102,67,48,22,44,23,45
AT3G53490,81,123,103,219,146,106,83,55,53,59,103,88
AT3G53500,555,1267,1219,3115,1742,1445,861,1463,993,1180,1228,1202
AT3G53510,89,136,123,404,207,183,133,127,94,146,116,152
AT3G53520,286,743,683,2030,1340,1114,575,700,579,581,672,737
AT3G53530,49,50,52,110,73,55,27,90,104,103,76,54
AT3G53540,524,927,843,2455,1021,1002,484,1223,798,918,1114,439
AT3G53550,0,1,0,5,2,1,0,0,1,0,0,0
AT3G53560,582,633,525,1512,1944,1638,980,227,472,489,731,712
AT3G53570,130,375,363,788,534,478,274,409,324,393,357,303
AT3G53580,660,1244,1181,2294,2269,2002,1168,772,736,890,1148,1196
AT3G53590,30,0,1,6,10,4,3,1,2,2,8,2
AT3G53600,3,3,7,24,3,3,0,2,0,3,1,0
AT3G53610,281,689,678,1262,931,784,475,666,505,573,639,724
AT3G53611,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53620,174,509,490,1252,697,498,333,882,413,388,353,284
AT3G53630,318,372,348,792,507,415,269,234,238,320,435,513
AT3G53640,0,3,0,1,0,4,0,0,1,1,0,0
AT3G53650,31,50,43,122,138,132,84,17,38,41,34,40
AT3G53670,305,595,653,1386,831,646,411,420,405,495,637,585
AT3G53680,28,63,47,156,388,284,168,10,69,65,85,53
AT3G53690,11,6,11,17,13,18,3,5,9,8,13,13
AT3G53700,214,346,279,894,624,501,304,204,242,246,366,434
AT3G53710,1041,1186,1197,2673,1434,1388,821,1039,669,822,1474,1130
AT3G53720,259,465,422,1209,501,394,220,402,231,238,371,455
AT3G53730,296,491,605,1915,948,775,545,344,443,541,844,593
AT3G53740,739,1791,2145,4238,4686,3424,2329,1319,1712,1769,1452,2693
AT3G53750,91,435,371,1186,1003,720,499,162,346,285,227,431
AT3G53760,49,105,99,382,237,216,89,65,74,82,48,67
AT3G53770,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53775,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53780,94,298,272,710,304,233,151,157,114,127,182,193
AT3G53790,5,0,2,2,1,1,0,0,0,0,1,1
AT3G53800,122,317,265,811,1833,1594,894,1027,1154,1102,1207,346
AT3G53810,151,312,313,712,346,296,178,205,114,144,158,198
AT3G53820,0,0,0,0,0,0,1,0,1,0,0,0
AT3G53830,153,239,254,632,371,280,189,32,132,135,222,172
AT3G53840,10,4,16,18,19,14,9,3,3,6,6,14
AT3G53850,47,118,120,463,249,170,131,96,86,92,102,127
AT3G53860,40,41,51,110,74,57,35,60,40,49,40,62
AT3G53870,875,2063,1806,8425,5481,4332,2548,1126,1660,1705,2149,3091
AT3G53880,31,91,104,225,177,155,79,70,75,80,61,113
AT3G53890,337,1245,1403,2746,3276,2465,1498,849,953,1037,916,1825
AT3G53900,143,361,358,1314,1093,911,657,195,319,311,230,393
AT3G53910,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53920,1011,839,939,1831,929,870,495,647,528,610,1227,865
AT3G53930,138,257,264,794,370,285,183,221,144,144,162,216
AT3G53940,20,67,42,151,86,85,47,11,33,46,29,59
AT3G53950,59,142,159,556,386,295,156,242,99,130,118,87
AT3G53960,149,341,294,683,498,444,244,323,149,148,126,284
AT3G53965,0,0,0,0,0,0,0,0,0,0,0,0
AT3G53970,126,429,436,1054,603,451,310,390,281,301,460,367
AT3G53980,4,29,25,139,100,100,68,8,28,30,7,139
AT3G53990,322,865,840,1812,1706,1149,877,2277,2235,2615,2818,780
AT3G54000,37,40,50,168,82,78,27,44,58,55,50,66
AT3G54010,782,833,770,1836,1074,963,635,592,527,533,1158,586
AT3G54020,80,167,166,502,241,219,119,123,127,174,151,179
AT3G54030,207,446,394,1288,425,351,214,351,505,574,820,266
AT3G54040,8,29,13,89,36,24,14,15,14,19,12,34
AT3G54050,4169,8392,7067,21207,16702,15783,8775,4577,4703,4717,6216,8678
AT3G54060,12,2,6,15,11,3,10,3,3,11,6,6
AT3G54065,0,2,6,2,9,7,2,11,7,14,11,1
AT3G54070,0,0,0,0,0,1,0,0,0,0,0,1
AT3G54080,53,158,133,534,186,177,102,103,105,125,74,128
AT3G54085,4,11,17,20,8,5,2,9,10,20,8,20
AT3G54090,204,363,274,970,1039,885,538,124,237,199,250,386
AT3G54100,178,365,392,782,493,401,279,317,179,191,178,193
AT3G54110,284,727,785,2160,1470,1272,759,532,482,468,447,780
AT3G54120,16,45,34,107,56,44,26,17,17,21,19,43
AT3G54130,83,108,134,316,148,153,97,110,71,72,134,135
AT3G54140,355,1219,945,2785,959,797,441,989,494,616,793,1148
AT3G54150,87,219,387,435,82,67,45,83,36,29,48,78
AT3G54160,5,13,10,50,20,13,6,8,6,10,0,13
AT3G54170,328,269,301,633,424,305,215,217,200,236,416,268
AT3G54180,9,29,22,111,125,113,62,16,45,38,8,32
AT3G54190,487,981,801,2211,1106,903,558,789,634,749,783,1009
AT3G54200,171,445,379,828,290,249,168,215,232,296,624,433
AT3G54210,1327,4191,4358,12618,10250,9270,5765,3298,3089,3398,2908,5179
AT3G54220,470,704,674,1703,657,527,296,303,312,347,264,642
AT3G54230,647,787,885,2362,1065,1001,523,899,763,804,873,522
AT3G54240,0,0,0,0,0,0,0,0,0,0,0,0
AT3G54250,41,97,61,269,216,170,107,69,79,95,102,89
AT3G54260,23,95,133,298,280,245,178,85,129,169,40,161
AT3G54270,20,34,34,98,64,53,35,17,22,21,35,31
AT3G54280,440,845,797,2641,957,860,453,608,729,705,592,557
AT3G54290,192,286,246,735,394,327,203,245,219,211,280,383
AT3G54300,237,465,489,1089,637,543,341,396,324,356,517,371
AT3G54310,0,0,1,2,7,3,5,3,5,2,3,2
AT3G54320,49,69,59,204,122,87,62,77,73,83,68,102
AT3G54340,0,2,2,1,1,1,0,0,0,1,1,0
AT3G54350,262,594,523,1494,851,764,404,641,546,608,494,443
AT3G54360,673,1663,1616,4084,2282,1770,1174,1761,1211,1348,1666,1624
AT3G54363,7,15,14,59,24,20,14,23,10,11,10,21
AT3G54366,191,605,556,1224,602,491,277,518,458,580,433,759
AT3G54380,100,205,259,542,246,218,159,259,153,199,169,167
AT3G54390,64,39,40,129,152,108,59,16,40,43,48,68
AT3G54400,399,2597,1660,5517,3695,2667,1860,366,2386,2779,1280,1869
AT3G54410,2,1,4,3,2,0,1,0,1,0,0,1
AT3G54420,69,102,107,174,31,22,11,19,14,15,6,61
AT3G54430,25,7,10,11,7,4,4,2,1,2,4,14
AT3G54440,609,1264,995,3228,1837,1631,977,2163,1200,1176,1267,757
AT3G54450,0,0,0,1,1,0,1,0,0,0,1,0
AT3G54460,435,732,659,1873,1280,1025,637,493,642,681,659,438
AT3G54470,254,785,586,1711,1309,971,623,391,532,546,562,891
AT3G54480,160,402,443,1218,720,501,308,348,294,326,335,441
AT3G54490,90,22,38,52,18,12,13,14,11,7,20,23
AT3G54500,7905,17587,19112,38893,5693,4281,2697,7973,3533,4039,3127,11279
AT3G54510,121,238,208,602,16,15,5,226,95,146,76,111
AT3G54520,0,0,1,0,0,0,0,0,0,2,0,0
AT3G54530,0,0,0,0,0,0,0,0,0,0,0,0
AT3G54540,910,1433,1310,3254,1789,1671,925,1825,994,1314,1578,1264
AT3G54550,0,0,0,0,0,0,0,0,1,0,0,0
AT3G54560,43,153,244,591,717,558,340,113,186,180,118,251
AT3G54570,1,0,1,1,3,0,0,0,0,0,1,0
AT3G54580,0,0,3,110,4,2,0,4,11,12,0,1
AT3G54590,2,0,0,86,2,14,0,0,1,1,0,2
AT3G54600,75,414,297,909,1331,1122,745,18,146,98,146,469
AT3G54610,74,136,151,480,279,241,166,111,119,127,122,123
AT3G54620,522,1139,1383,2588,1581,1171,791,1078,500,562,658,881
AT3G54625,13,1,4,5,10,3,0,2,0,3,2,3
AT3G54630,0,3,4,3,2,1,2,1,0,3,3,2
AT3G54640,421,1021,1407,2392,1527,1234,790,249,389,402,562,1037
AT3G54650,210,514,482,1292,757,674,345,504,430,457,257,343
AT3G54660,1610,3643,3413,10526,5322,4612,2658,2286,2170,2271,2204,3321
AT3G54670,893,801,743,2018,1088,980,566,703,685,760,935,419
AT3G54680,140,304,293,624,290,234,113,284,164,180,199,249
AT3G54690,198,675,643,1750,1241,983,583,863,429,566,518,622
AT3G54700,0,0,0,0,1,0,0,0,0,0,0,0
AT3G54710,19,40,43,117,129,106,52,16,36,39,26,56
AT3G54720,259,323,355,1111,513,540,279,496,280,339,227,476
AT3G54730,3,0,3,3,3,3,0,1,1,0,1,3
AT3G54740,141,230,227,486,305,251,186,240,144,226,263,188
AT3G54750,64,206,180,494,565,450,294,90,170,137,84,136
AT3G54760,938,1071,960,2234,1554,1365,785,800,779,918,1303,981
AT3G54770,5,12,12,40,1,0,1,2,15,10,10,10
AT3G54780,16,37,26,96,105,62,55,10,27,22,12,32
AT3G54790,122,269,190,673,569,438,245,217,274,318,270,254
AT3G54800,0,0,0,0,0,0,2,0,1,1,0,0
AT3G54810,355,556,562,1310,696,506,319,358,389,429,567,682
AT3G54820,20,115,129,407,339,277,174,127,158,188,93,178
AT3G54826,76,286,304,602,427,429,260,179,223,257,236,324
AT3G54830,66,241,161,629,48,41,33,454,110,125,67,212
AT3G54840,224,429,489,1642,792,574,412,443,365,350,409,416
AT3G54850,127,403,476,952,416,397,240,433,290,301,293,346
AT3G54860,147,367,373,989,589,512,316,461,251,315,327,305
AT3G54870,13,8,1,17,7,17,6,1,3,7,3,10
AT3G54880,674,649,976,1557,1014,705,497,1188,497,549,556,450
AT3G54890,19099,74825,72510,168506,175986,151548,89302,80339,75738,76562,84995,78594
AT3G54900,457,1320,1303,3407,3204,2391,1774,990,1017,1120,989,2269
AT3G54910,917,170,191,430,383,242,164,158,131,187,273,111
AT3G54920,978,1583,1555,3786,5003,4092,2433,2174,1311,1601,1271,1350
AT3G54925,0,0,0,0,0,0,0,0,0,0,0,0
AT3G54930,22,58,60,192,116,118,55,34,61,62,48,64
AT3G54940,0,0,1,0,0,0,0,0,0,0,0,12
AT3G54950,94,167,194,356,263,195,136,173,84,112,130,193
AT3G54960,112,343,331,815,548,408,287,245,236,236,308,257
AT3G54970,41,70,76,303,165,174,68,41,63,37,59,76
AT3G54980,74,139,128,307,257,216,127,98,123,118,140,218
AT3G54990,7,25,20,47,52,41,22,20,14,7,12,40
AT3G55000,129,248,245,780,479,431,253,238,253,270,306,313
AT3G55005,168,350,300,684,424,322,240,231,252,342,474,299
AT3G55010,161,387,316,902,737,581,381,86,229,216,227,401
AT3G55020,903,1324,1287,3396,1383,1237,739,1406,1034,1054,1210,1004
AT3G55030,64,174,199,564,330,248,160,169,145,169,148,188
AT3G55040,206,623,536,1509,1462,1225,808,294,306,274,280,562
AT3G55050,138,321,324,746,390,336,204,238,194,242,236,353
AT3G55060,63,81,74,147,168,108,90,48,57,76,79,59
AT3G55070,139,478,495,1122,583,459,323,486,379,406,448,389
AT3G55080,75,230,270,826,353,317,168,267,209,210,134,180
AT3G55090,25,49,38,101,78,44,27,15,40,25,20,67
AT3G55100,0,0,0,1,0,1,0,0,1,0,0,0
AT3G55110,22,76,94,328,193,186,88,35,34,44,32,191
AT3G55120,53,174,163,477,301,254,159,103,102,123,155,274
AT3G55130,528,1789,1655,3416,995,866,508,453,679,703,977,1423
AT3G55140,198,362,353,985,514,378,246,264,268,291,429,399
AT3G55150,34,73,74,131,13,9,3,6,3,12,3,20
AT3G55160,86,309,169,818,326,290,130,144,253,247,111,183
AT3G55170,93,163,211,647,430,301,194,116,158,162,138,262
AT3G55180,1,0,1,4,9,4,2,0,4,1,4,0
AT3G55190,2,4,4,4,19,6,4,4,2,6,1,1
AT3G55200,473,1011,676,2979,1768,1652,891,672,843,806,841,916
AT3G55210,0,0,0,1,0,0,1,0,0,1,4,1
AT3G55220,483,1039,704,3057,1772,1681,920,723,863,836,852,922
AT3G55230,8,24,10,79,25,8,8,11,2,5,4,47
AT3G55240,1295,1723,2098,2864,766,478,351,478,1376,1455,3328,1402
AT3G55250,693,941,1074,2691,2050,1618,1090,454,695,664,1222,1072
AT3G55252,0,0,0,0,0,0,0,0,0,0,0,0
AT3G55254,0,0,0,0,0,0,0,0,0,0,0,0
AT3G55260,251,738,642,1730,969,744,496,498,382,462,472,526
AT3G55270,453,986,987,2336,1008,895,518,998,620,711,605,690
AT3G55280,150,989,928,2325,1154,766,631,440,660,714,390,1168
AT3G55290,21,74,73,159,120,96,59,43,58,56,62,118
AT3G55310,0,1,2,3,4,3,1,0,0,2,0,9
AT3G55320,218,393,356,873,466,406,206,252,244,307,274,379
AT3G55330,901,1964,1986,5134,3092,2194,1560,888,1002,962,1177,1794
AT3G55340,87,161,113,461,169,106,82,45,105,89,137,307
AT3G55350,72,131,116,449,297,234,124,100,102,123,120,171
AT3G55360,119,661,534,2273,1454,1252,759,530,578,631,480,986
AT3G55370,34,50,59,181,72,63,22,51,40,43,35,75
AT3G55380,89,223,212,538,524,399,260,175,173,212,193,304
AT3G55390,7,36,40,89,62,82,39,56,32,28,18,28
AT3G55400,556,801,803,2224,1804,1549,955,571,709,651,575,739
AT3G55410,846,1708,1495,4223,3180,2834,1605,1541,1387,1416,1332,1249
AT3G55420,97,161,170,345,217,152,99,58,66,117,118,236
AT3G55430,348,1322,1521,3257,2978,2293,1454,1978,874,1057,566,893
AT3G55440,1959,5288,4823,12753,10682,9145,5610,4407,3381,3886,5722,6581
AT3G55450,161,329,373,562,394,365,200,578,295,349,226,197
AT3G55460,343,815,841,2327,1518,1337,781,1040,798,991,1007,1115
AT3G55470,169,190,240,497,163,160,100,82,67,75,192,198
AT3G55480,260,567,527,1756,912,831,482,528,431,475,399,364
AT3G55485,0,0,0,1,0,0,0,0,0,0,0,1
